H,連系線確保量,対象年月,ブロック数,取引期間,,
20250301B07,中部,北陸,270,0,0,0
20250301B07,北陸,関西,540,750,0,0
20250301B07,関西,中国,2982,2192.5,0,132.393
20250301B07,関西_関西-中国間(東),中国_関西-中国間(東),2982,2192.5,0,132.393
20250301B07,関西_関西-中国間(西),中国_関西-中国間(西),2982,2192.5,0,132.393
20250301B07,関西,四国,0,0,0,0
20250301B07,中国,四国,550,888,0,0
20250301B07,中国,九州,379,0,0,0
20250301B08,北海道,東北,0,0,0,0
20250301B08,東北,東京,0,2124,0,0
20250301B08,東京,中部,0,0,0,0
20250301B08,中部,関西,854,0,0,0
20250301B08,中部,北陸,270,0,0,0
20250301B08,北陸,関西,692,750,16,0
20250301B08,関西,中国,2982,2239,11,0
20250301B08,関西_関西-中国間(東),中国_関西-中国間(東),2982,2239,11,0
20250301B08,関西_関西-中国間(西),中国_関西-中国間(西),2982,2239,11,0
20250301B08,関西,四国,0,0,0,0
20250301B08,中国,四国,322,924,11,0
20250301B08,中国,九州,359,0,0,0
20250302B01,北海道,東北,0,0,0,0
20250302B01,東北,東京,0,2124,0,0
20250302B01,東京,中部,0,3,0,0
20250302B01,中部,関西,824,0,0,0
20250302B01,中部,北陸,270,0,0,0
20250302B01,北陸,関西,1349,750,10,0
20250302B01,関西,中国,2982,2053,0,62.98
20250302B01,関西_関西-中国間(東),中国_関西-中国間(東),2982,2053,0,62.98
20250302B01,関西_関西-中国間(西),中国_関西-中国間(西),2982,2053,0,62.98
20250302B01,関西,四国,0,0,0,0
20250302B01,中国,四国,0,1008,0,0
20250302B01,中国,九州,349,0,0,0
20250302B02,北海道,東北,0,0,0,0
20250302B02,東北,東京,0,2124,0,0
20250302B02,東京,中部,0,717,0,0
20250302B02,中部,関西,914,0,0,0
20250302B02,中部,北陸,270,0,0,0
20250302B02,北陸,関西,1330,750,0,0
20250302B02,関西,中国,2982,2332,0,78.98
20250302B02,関西_関西-中国間(東),中国_関西-中国間(東),2982,2332,0,78.98
20250302B02,関西_関西-中国間(西),中国_関西-中国間(西),2982,2332,0,78.98
20250302B02,関西,四国,0,0,0,0
20250302B02,中国,四国,0,1080,0,0
20250302B02,中国,九州,379,0,0,0
20250302B03,北海道,東北,0,0,0,0
20250302B03,東北,東京,0,2124,0,75.311
20250302B03,東京,中部,66,0,66,0
20250302B03,中部,関西,444,0,0,0
20250302B03,中部,北陸,270,0,0,0
20250302B03,北陸,関西,787,750,23,0
20250302B03,関西,中国,2982,1355.5,15,80.341
20250302B03,関西_関西-中国間(東),中国_関西-中国間(東),2982,1355.5,15,80.341
20250302B03,関西_関西-中国間(西),中国_関西-中国間(西),2982,1355.5,15,80.341
20250302B03,関西,四国,0,0,0,0
20250302B03,中国,四国,102,1056,4,4
20250302B03,中国,九州,139,0,0,0
20250302B04,北海道,東北,0,0,0,0
20250302B04,東北,東京,0,2124,0,318
20250302B04,東京,中部,297,0,196,0
20250302B04,中部,関西,284,0,0,0
20250302B04,中部,北陸,270,0,0,0
20250302B04,北陸,関西,749,750,10,0
20250302B04,関西,中国,2982,425.5,28,0
20250302B04,関西_関西-中国間(東),中国_関西-中国間(東),2982,425.5,28,0
20250302B04,関西_関西-中国間(西),中国_関西-中国間(西),2982,425.5,28,0
20250302B04,関西,四国,0,0,0,0
20250302B04,中国,四国,390,588,0,0
20250302B04,中国,九州,99,0,0,0
20250302B05,北海道,東北,0,0,0,0
20250302B05,東北,東京,0,2124,0,185
20250302B05,東京,中部,87,0,87,0
20250302B05,中部,関西,304,0,0,0
20250302B05,中部,北陸,270,0,0,0
20250302B05,北陸,関西,730,750,6,0
20250302B05,関西,中国,2982,193,50,35.939
20250302B05,関西_関西-中国間(東),中国_関西-中国間(東),2982,193,50,35.939
20250302B05,関西_関西-中国間(西),中国_関西-中国間(西),2982,193,50,35.939
20250302B05,関西,四国,0,0,0,0
20250302B05,中国,四国,678,384,0,65
20250302B05,中国,九州,99,0,0,0
20250302B06,北海道,東北,0,0,0,0
20250302B06,東北,東京,0,2124,0,20
20250302B06,東京,中部,0,0,0,0
20250302B06,中部,関西,384,0,0,0
20250302B06,中部,北陸,270,0,0,0
20250302B06,北陸,関西,616,750,7,0
20250302B06,関西,中国,2982,565,17,39.393
20250302B06,関西_関西-中国間(東),中国_関西-中国間(東),2982,565,17,39.393
20250302B06,関西_関西-中国間(西),中国_関西-中国間(西),2982,565,17,39.393
20250302B06,関西,四国,0,0,0,0
20250302B06,中国,四国,344,624,39.393,8
20250302B06,中国,九州,109,0,17,0
20250302B07,北海道,東北,0,0,0,0
20250302B07,東北,東京,0,2124,0,0
20250302B07,東京,中部,0,654,0,654
20250302B07,中部,関西,1004,0,47.948,0
20250302B07,中部,北陸,270,0,0,0
20250302B07,北陸,関西,540,750,0,0
20250302B07,関西,中国,2982,2192.5,77.607,0
20250302B07,関西_関西-中国間(東),中国_関西-中国間(東),2982,2192.5,77.607,0
20250302B07,関西_関西-中国間(西),中国_関西-中国間(西),2982,2192.5,77.607,0
20250302B07,関西,四国,0,0,0,0
20250302B07,中国,四国,550,888,0,0
20250302B07,中国,九州,379,0,210,0
20250302B08,北海道,東北,0,0,0,0
20250302B08,東北,東京,0,2124,0,0
20250302B08,東京,中部,0,0,0,0
20250302B08,中部,関西,854,0,0,0
20250302B08,中部,北陸,270,0,0,0
20250302B08,北陸,関西,692,750,16,0
20250302B08,関西,中国,2982,2239,94.659,0
20250302B08,関西_関西-中国間(東),中国_関西-中国間(東),2982,2239,94.659,0
20250302B08,関西_関西-中国間(西),中国_関西-中国間(西),2982,2239,94.659,0
20250302B08,関西,四国,0,0,0,0
20250302B08,中国,四国,322,924,0,0
20250302B08,中国,九州,359,0,166.868,0
20250303B01,北海道,東北,0,0,0,0
20250303B01,東北,東京,0,2124,0,0
20250303B01,東京,中部,0,3,0,0
20250303B01,中部,関西,824,0,0,0
20250303B01,中部,北陸,270,0,0,0
20250303B01,北陸,関西,1349,750,10,0
20250303B01,関西,中国,2982,2053,175.195,0
20250303B01,関西_関西-中国間(東),中国_関西-中国間(東),2982,2053,175.195,0
20250303B01,関西_関西-中国間(西),中国_関西-中国間(西),2982,2053,175.195,0
20250303B01,関西,四国,0,0,0,0
20250303B01,中国,四国,0,1008,0,0
20250303B01,中国,九州,349,0,200,0
20250303B02,北海道,東北,0,0,0,0
20250303B02,東北,東京,0,2124,0,0
20250303B02,東京,中部,0,717,0,0
20250303B02,中部,関西,914,0,0,0
20250303B02,中部,北陸,270,0,0,0
20250303B02,北陸,関西,1330,750,0,0
20250303B02,関西,中国,2982,2332,176.195,0
20250303B02,関西_関西-中国間(東),中国_関西-中国間(東),2982,2332,176.195,0
20250303B02,関西_関西-中国間(西),中国_関西-中国間(西),2982,2332,176.195,0
20250303B02,関西,四国,0,0,0,0
20250303B02,中国,四国,0,1080,0,0
20250303B02,中国,九州,379,0,217,0
20250303B03,北海道,東北,0,0,0,0
20250303B03,東北,東京,0,2124,0,81
20250303B03,東京,中部,0,0,0,0
20250303B03,中部,関西,684,0,0,0
20250303B03,中部,北陸,270,0,0,0
20250303B03,北陸,関西,1147,750,23,0
20250303B03,関西,中国,2982,1355.5,226.097,2.939
20250303B03,関西_関西-中国間(東),中国_関西-中国間(東),2982,1355.5,226.097,2.939
20250303B03,関西_関西-中国間(西),中国_関西-中国間(西),2982,1355.5,226.097,2.939
20250303B03,関西,四国,0,0,0,0
20250303B03,中国,四国,132,1056,4,4
20250303B03,中国,九州,229,0,229,0
20250303B04,北海道,東北,0,0,0,0
20250303B04,東北,東京,0,2124,0,228
20250303B04,東京,中部,0,0,0,0
20250303B04,中部,関西,544,0,0,0
20250303B04,中部,北陸,270,0,0,0
20250303B04,北陸,関西,1109,1450,10,0
20250303B04,関西,中国,2982,425.5,50.659,0
20250303B04,関西_関西-中国間(東),中国_関西-中国間(東),2982,425.5,50.659,0
20250303B04,関西_関西-中国間(西),中国_関西-中国間(西),2982,425.5,50.659,0
20250303B04,関西,四国,0,0,0,0
20250303B04,中国,四国,410,588,22.659,0
20250303B04,中国,九州,149,50,0,0
20250303B05,北海道,東北,0,0,0,0
20250303B05,東北,東京,0,2124,0,95
20250303B05,東京,中部,0,0,0,0
20250303B05,中部,関西,504,0,0,0
20250303B05,中部,北陸,270,0,0,0
20250303B05,北陸,関西,1090,1450,6,0
20250303B05,関西,中国,2982,193,50,0.197
20250303B05,関西_関西-中国間(東),中国_関西-中国間(東),2982,193,50,0.197
20250303B05,関西_関西-中国間(西),中国_関西-中国間(西),2982,193,50,0.197
20250303B05,関西,四国,0,0,0,0
20250303B05,中国,四国,698,384,0.197,0
20250303B05,中国,九州,149,0,0,0
20250303B06,北海道,東北,0,10,0,10
20250303B06,東北,東京,0,2124,0,60
20250303B06,東京,中部,0,0,0,0
20250303B06,中部,関西,694,0,0,0
20250303B06,中部,北陸,270,0,0,0
20250303B06,北陸,関西,976,1450,7,0
20250303B06,関西,中国,2982,565,41.659,0
20250303B06,関西_関西-中国間(東),中国_関西-中国間(東),2982,565,41.659,0
20250303B06,関西_関西-中国間(西),中国_関西-中国間(西),2982,565,41.659,0
20250303B06,関西,四国,0,0,0,0
20250303B06,中国,四国,374,624,9.273,8
20250303B06,中国,九州,189,0,0,0
20250303B07,北海道,東北,0,0,0,0
20250303B07,東北,東京,0,2124,0,0
20250303B07,東京,中部,0,204,0,204
20250303B07,中部,関西,1114,275,0,204
20250303B07,中部,北陸,270,0,0,0
20250303B07,北陸,関西,900,1450,0,0
20250303B07,関西,中国,2982,2192.5,0,64.551
20250303B07,関西_関西-中国間(東),中国_関西-中国間(東),2982,2192.5,0,64.551
20250303B07,関西_関西-中国間(西),中国_関西-中国間(西),2982,2192.5,0,64.551
20250303B07,関西,四国,0,0,0,0
20250303B07,中国,四国,560,888,0,0
20250303B07,中国,九州,429,0,0,0
20250303B08,北海道,東北,0,0,0,0
20250303B08,東北,東京,0,2124,0,0
20250303B08,東京,中部,0,0,0,0
20250303B08,中部,関西,954,0,0,0
20250303B08,中部,北陸,270,0,0,0
20250303B08,北陸,関西,1052,750,16,0
20250303B08,関西,中国,2982,2239,0,83.911
20250303B08,関西_関西-中国間(東),中国_関西-中国間(東),2982,2239,0,83.911
20250303B08,関西_関西-中国間(西),中国_関西-中国間(西),2982,2239,0,83.911
20250303B08,関西,四国,0,0,0,0
20250303B08,中国,四国,332,924,0,0
20250303B08,中国,九州,379,0,0,0
20250304B01,北海道,東北,0,0,0,0
20250304B01,東北,東京,0,2124,0,0
20250304B01,東京,中部,0,0,0,0
20250304B01,中部,関西,924,0,0,0
20250304B01,中部,北陸,270,0,0,0
20250304B01,北陸,関西,1349,750,10,0
20250304B01,関西,中国,2982,2053,0,49.176
20250304B01,関西_関西-中国間(東),中国_関西-中国間(東),2982,2053,0,49.176
20250304B01,関西_関西-中国間(西),中国_関西-中国間(西),2982,2053,0,49.176
20250304B01,関西,四国,0,0,0,0
20250304B01,中国,四国,0,1008,0,0
20250304B01,中国,九州,369,0,0,0
20250304B02,北海道,東北,0,0,0,0
20250304B02,東北,東京,0,2124,0,0
20250304B02,東京,中部,0,267,0,0
20250304B02,中部,関西,1034,0,0,0
20250304B02,中部,北陸,270,0,0,0
20250304B02,北陸,関西,1330,750,0,0
20250304B02,関西,中国,2982,2332,0,54.805
20250304B02,関西_関西-中国間(東),中国_関西-中国間(東),2982,2332,0,54.805
20250304B02,関西_関西-中国間(西),中国_関西-中国間(西),2982,2332,0,54.805
20250304B02,関西,四国,0,0,0,0
20250304B02,中国,四国,0,1080,0,0
20250304B02,中国,九州,409,0,0,0
20250304B03,北海道,東北,0,0,0,0
20250304B03,東北,東京,0,2124,0,31
20250304B03,東京,中部,0,0,0,0
20250304B03,中部,関西,794,0,0,0
20250304B03,中部,北陸,270,0,0,0
20250304B03,北陸,関西,1147,750,23,0
20250304B03,関西,中国,2982,1355.5,59.959,24.939
20250304B03,関西_関西-中国間(東),中国_関西-中国間(東),2982,1355.5,59.959,24.939
20250304B03,関西_関西-中国間(西),中国_関西-中国間(西),2982,1355.5,59.959,24.939
20250304B03,関西,四国,0,0,0,0
20250304B03,中国,四国,132,1056,4,4
20250304B03,中国,九州,229,0,0,0
20250304B04,北海道,東北,0,0,0,0
20250304B04,東北,東京,0,2124,0,0
20250304B04,東京,中部,0,0,0,0
20250304B04,中部,関西,544,0,0,0
20250304B04,中部,北陸,270,0,0,0
20250304B04,北陸,関西,1109,1450,0,0
20250304B04,関西,中国,2982,425.5,28,0
20250304B04,関西_関西-中国間(東),中国_関西-中国間(東),2982,425.5,28,0
20250304B04,関西_関西-中国間(西),中国_関西-中国間(西),2982,425.5,28,0
20250304B04,関西,四国,0,0,0,0
20250304B04,中国,四国,410,588,0,28
20250304B04,中国,九州,149,50,0,0
20250304B05,北海道,東北,0,0,0,0
20250304B05,東北,東京,0,2124,0,0
20250304B05,東京,中部,0,0,0,0
20250304B05,中部,関西,504,0,0,0
20250304B05,中部,北陸,270,0,0,0
20250304B05,北陸,関西,1090,1450,0,0
20250304B05,関西,中国,2982,193,46,0
20250304B05,関西_関西-中国間(東),中国_関西-中国間(東),2982,193,46,0
20250304B05,関西_関西-中国間(西),中国_関西-中国間(西),2982,193,46,0
20250304B05,関西,四国,0,0,0,0
20250304B05,中国,四国,698,384,0,46
20250304B05,中国,九州,149,0,0,0
20250304B06,北海道,東北,0,0,0,0
20250304B06,東北,東京,0,2124,0,0
20250304B06,東京,中部,0,0,0,0
20250304B06,中部,関西,694,0,0,0
20250304B06,中部,北陸,270,0,0,0
20250304B06,北陸,関西,976,1450,0,0
20250304B06,関西,中国,2982,565,58,0
20250304B06,関西_関西-中国間(東),中国_関西-中国間(東),2982,565,58,0
20250304B06,関西_関西-中国間(西),中国_関西-中国間(西),2982,565,58,0
20250304B06,関西,四国,0,0,0,0
20250304B06,中国,四国,374,624,0,58
20250304B06,中国,九州,189,0,0,0
20250304B07,北海道,東北,0,0,0,0
20250304B07,東北,東京,0,2124,0,0
20250304B07,東京,中部,0,204,0,204
20250304B07,中部,関西,1114,275,0,204
20250304B07,中部,北陸,270,0,0,0
20250304B07,北陸,関西,900,1450,0,0
20250304B07,関西,中国,2982,2192.5,0,43.341
20250304B07,関西_関西-中国間(東),中国_関西-中国間(東),2982,2192.5,0,43.341
20250304B07,関西_関西-中国間(西),中国_関西-中国間(西),2982,2192.5,0,43.341
20250304B07,関西,四国,0,0,0,0
20250304B07,中国,四国,560,888,0,0
20250304B07,中国,九州,429,0,0,0
20250304B08,北海道,東北,0,0,0,0
20250304B08,東北,東京,0,2124,0,0
20250304B08,東京,中部,0,0,0,0
20250304B08,中部,関西,954,0,0,0
20250304B08,中部,北陸,270,0,0,0
20250304B08,北陸,関西,1052,750,16,0
20250304B08,関西,中国,2982,2239,0,78.471
20250304B08,関西_関西-中国間(東),中国_関西-中国間(東),2982,2239,0,78.471
20250304B08,関西_関西-中国間(西),中国_関西-中国間(西),2982,2239,0,78.471
20250304B08,関西,四国,0,0,0,0
20250304B08,中国,四国,332,924,0,0
20250304B08,中国,九州,379,0,0,0
20250305B01,北海道,東北,0,0,0,0
20250305B01,東北,東京,0,2124,0,0
20250305B01,東京,中部,0,0,0,0
20250305B01,中部,関西,924,0,0,0
20250305B01,中部,北陸,270,0,0,0
20250305B01,北陸,関西,1349,750,10,0
20250305B01,関西,中国,2982,2053,0,48.805
20250305B01,関西_関西-中国間(東),中国_関西-中国間(東),2982,2053,0,48.805
20250305B01,関西_関西-中国間(西),中国_関西-中国間(西),2982,2053,0,48.805
20250305B01,関西,四国,0,0,0,0
20250305B01,中国,四国,0,1008,0,0
20250305B01,中国,九州,369,0,0,0
20250305B02,北海道,東北,0,0,0,0
20250305B02,東北,東京,0,2124,0,0
20250305B02,東京,中部,0,267,0,0
20250305B02,中部,関西,1034,0,0,0
20250305B02,中部,北陸,270,0,0,0
20250305B02,北陸,関西,1330,750,0,0
20250305B02,関西,中国,2982,2332,0,54.805
20250305B02,関西_関西-中国間(東),中国_関西-中国間(東),2982,2332,0,54.805
20250305B02,関西_関西-中国間(西),中国_関西-中国間(西),2982,2332,0,54.805
20250305B02,関西,四国,0,0,0,0
20250305B02,中国,四国,0,1080,0,0
20250305B02,中国,九州,409,0,0,0
20250305B03,北海道,東北,0,0,0,0
20250305B03,東北,東京,0,2124,0,31
20250305B03,東京,中部,0,0,0,0
20250305B03,中部,関西,794,0,0,0
20250305B03,中部,北陸,270,0,0,0
20250305B03,北陸,関西,1147,750,23,0
20250305B03,関西,中国,2982,1355.5,59.959,24.939
20250305B03,関西_関西-中国間(東),中国_関西-中国間(東),2982,1355.5,59.959,24.939
20250305B03,関西_関西-中国間(西),中国_関西-中国間(西),2982,1355.5,59.959,24.939
20250305B03,関西,四国,0,0,0,0
20250305B03,中国,四国,132,1056,4,4
20250305B03,中国,九州,229,0,0,0
20250305B04,北海道,東北,0,0,0,0
20250305B04,東北,東京,0,2124,0,268
20250305B04,東京,中部,0,0,0,0
20250305B04,中部,関西,544,0,0,0
20250305B04,中部,北陸,270,0,0,0
20250305B04,北陸,関西,1109,1450,10,0
20250305B04,関西,中国,2982,425.5,127,4
20250305B04,関西_関西-中国間(東),中国_関西-中国間(東),2982,425.5,127,4
20250305B04,関西_関西-中国間(西),中国_関西-中国間(西),2982,425.5,127,4
20250305B04,関西,四国,0,0,0,0
20250305B04,中国,四国,410,588,0,32
20250305B04,中国,九州,149,50,99,0
20250305B05,北海道,東北,0,0,0,0
20250305B05,東北,東京,0,2124,0,225
20250305B05,東京,中部,0,0,0,0
20250305B05,中部,関西,504,0,0,0
20250305B05,中部,北陸,270,0,0,0
20250305B05,北陸,関西,1090,1450,6,0
20250305B05,関西,中国,2982,193,55,13.819
20250305B05,関西_関西-中国間(東),中国_関西-中国間(東),2982,193,55,13.819
20250305B05,関西_関西-中国間(西),中国_関西-中国間(西),2982,193,55,13.819
20250305B05,関西,四国,0,0,0,0
20250305B05,中国,四国,698,384,0,0
20250305B05,中国,九州,149,0,35,0
20250305B06,北海道,東北,0,10,0,10
20250305B06,東北,東京,0,2124,0,60
20250305B06,東京,中部,0,0,0,0
20250305B06,中部,関西,694,0,0,0
20250305B06,中部,北陸,270,0,0,0
20250305B06,北陸,関西,976,1450,7,0
20250305B06,関西,中国,2982,565,194.515,0
20250305B06,関西_関西-中国間(東),中国_関西-中国間(東),2982,565,194.515,0
20250305B06,関西_関西-中国間(西),中国_関西-中国間(西),2982,565,194.515,0
20250305B06,関西,四国,0,0,0,0
20250305B06,中国,四国,374,624,0,0
20250305B06,中国,九州,189,0,113.879,0
20250305B07,北海道,東北,0,0,0,0
20250305B07,東北,東京,0,2124,0,0
20250305B07,東京,中部,0,204,0,53.928
20250305B07,中部,関西,1114,275,0,52
20250305B07,中部,北陸,270,0,0,0
20250305B07,北陸,関西,900,1450,0,0
20250305B07,関西,中国,2982,2192.5,108.659,0
20250305B07,関西_関西-中国間(東),中国_関西-中国間(東),2982,2192.5,108.659,0
20250305B07,関西_関西-中国間(西),中国_関西-中国間(西),2982,2192.5,108.659,0
20250305B07,関西,四国,0,0,0,0
20250305B07,中国,四国,560,888,0,0
20250305B07,中国,九州,429,0,229.972,0
20250305B08,北海道,東北,0,0,0,0
20250305B08,東北,東京,0,2124,0,0
20250305B08,東京,中部,0,0,0,0
20250305B08,中部,関西,954,0,0,0
20250305B08,中部,北陸,270,0,0,0
20250305B08,北陸,関西,1052,750,16,0
20250305B08,関西,中国,2982,2239,169.529,0
20250305B08,関西_関西-中国間(東),中国_関西-中国間(東),2982,2239,169.529,0
20250305B08,関西_関西-中国間(西),中国_関西-中国間(西),2982,2239,169.529,0
20250305B08,関西,四国,0,0,0,0
20250305B08,中国,四国,332,924,0,0
20250305B08,中国,九州,379,0,248,0
20250306B01,北海道,東北,0,0,0,0
20250306B01,東北,東京,0,2124,0,0
20250306B01,東京,中部,0,0,0,0
20250306B01,中部,関西,924,0,0,0
20250306B01,中部,北陸,270,0,0,0
20250306B01,北陸,関西,1349,750,10,0
20250306B01,関西,中国,2982,2053,85.049,0
20250306B01,関西_関西-中国間(東),中国_関西-中国間(東),2982,2053,85.049,0
20250306B01,関西_関西-中国間(西),中国_関西-中国間(西),2982,2053,85.049,0
20250306B01,関西,四国,0,0,0,0
20250306B01,中国,四国,0,1008,0,0
20250306B01,中国,九州,369,0,200,0
20250306B02,北海道,東北,0,0,0,0
20250306B02,東北,東京,0,2124,0,0
20250306B02,東京,中部,0,267,0,0
20250306B02,中部,関西,1034,0,0,0
20250306B02,中部,北陸,270,0,0,0
20250306B02,北陸,関西,1330,750,0,0
20250306B02,関西,中国,2982,2332,162.195,0
20250306B02,関西_関西-中国間(東),中国_関西-中国間(東),2982,2332,162.195,0
20250306B02,関西_関西-中国間(西),中国_関西-中国間(西),2982,2332,162.195,0
20250306B02,関西,四国,0,0,0,0
20250306B02,中国,四国,0,1080,0,0
20250306B02,中国,九州,409,0,217,0
20250306B03,北海道,東北,0,0,0,0
20250306B03,東北,東京,0,2124,0,31
20250306B03,東京,中部,0,0,0,0
20250306B03,中部,関西,794,0,0,0
20250306B03,中部,北陸,270,0,0,0
20250306B03,北陸,関西,1147,750,23,0
20250306B03,関西,中国,2982,1355.5,125,31.819
20250306B03,関西_関西-中国間(東),中国_関西-中国間(東),2982,1355.5,125,31.819
20250306B03,関西_関西-中国間(西),中国_関西-中国間(西),2982,1355.5,125,31.819
20250306B03,関西,四国,0,0,0,0
20250306B03,中国,四国,132,1056,17.146,17.146
20250306B03,中国,九州,229,0,229,0
20250306B04,北海道,東北,0,0,0,0
20250306B04,東北,東京,0,2124,0,268
20250306B04,東京,中部,0,0,0,0
20250306B04,中部,関西,544,0,0,0
20250306B04,中部,北陸,270,0,0,0
20250306B04,北陸,関西,1109,1450,10,0
20250306B04,関西,中国,2982,425.5,130.559,15.441
20250306B04,関西_関西-中国間(東),中国_関西-中国間(東),2982,425.5,130.559,15.441
20250306B04,関西_関西-中国間(西),中国_関西-中国間(西),2982,425.5,130.559,15.441
20250306B04,関西,四国,0,0,0,0
20250306B04,中国,四国,410,588,0,19
20250306B04,中国,九州,149,50,99,0
20250306B05,北海道,東北,0,0,0,0
20250306B05,東北,東京,0,2124,0,135
20250306B05,東京,中部,0,0,0,0
20250306B05,中部,関西,504,0,0,0
20250306B05,中部,北陸,270,0,0,0
20250306B05,北陸,関西,1090,1450,6,0
20250306B05,関西,中国,2982,193,55,19
20250306B05,関西_関西-中国間(東),中国_関西-中国間(東),2982,193,55,19
20250306B05,関西_関西-中国間(西),中国_関西-中国間(西),2982,193,55,19
20250306B05,関西,四国,0,0,0,0
20250306B05,中国,四国,698,384,0,19
20250306B05,中国,九州,149,0,5,0
20250306B06,北海道,東北,0,10,0,0
20250306B06,東北,東京,0,2124,0,60
20250306B06,東京,中部,0,0,0,0
20250306B06,中部,関西,694,0,0,0
20250306B06,中部,北陸,270,0,0,0
20250306B06,北陸,関西,976,1450,7,0
20250306B06,関西,中国,2982,565,293.296,8
20250306B06,関西_関西-中国間(東),中国_関西-中国間(東),2982,565,293.296,8
20250306B06,関西_関西-中国間(西),中国_関西-中国間(西),2982,565,293.296,8
20250306B06,関西,四国,0,0,0,0
20250306B06,中国,四国,374,624,0,58
20250306B06,中国,九州,189,0,189,0
20250306B07,北海道,東北,0,0,0,0
20250306B07,東北,東京,0,2124,0,0
20250306B07,東京,中部,0,204,0,204
20250306B07,中部,関西,1114,275,0,204
20250306B07,中部,北陸,270,0,0,0
20250306B07,北陸,関西,900,1450,0,0
20250306B07,関西,中国,2982,2192.5,153.687,0
20250306B07,関西_関西-中国間(東),中国_関西-中国間(東),2982,2192.5,153.687,0
20250306B07,関西_関西-中国間(西),中国_関西-中国間(西),2982,2192.5,153.687,0
20250306B07,関西,四国,0,0,0,0
