H,需給調整市場取引結果,対象年月日,取引年月日,商品区分,ブロック数
P,速報値,20210413,20210412,三次調整力2,8
B05,応札量合計（電源属地別）[MW],,,,,,,,,,
B05,落札量合計（電源属地別）[MW],,,,,,,,,,
B05,最高落札価格（電源属地別）[円/kW],,,,,,,,,
B05,最低落札価格（電源属地別）[円/kW],,,,,,,,,
B05,平均落札価格（電源属地別）[円/kW],,,,,,,,,
B05,落札量合計（TSO別）[MW],,,,,,,,,,
B05,（内訳）自エリアからの落札量[MW],,,,,,,,,,
B06,募集量（TSO別）[MW],,,,,,,,,,
B06,応札量合計（電源属地別）[MW],,,,,,,,,,
B06,落札量合計（電源属地別）[MW],,,,,,,,,,
B06,最高落札価格（電源属地別）[円/kW],,,,,,,,,
B06,最低落札価格（電源属地別）[円/kW],,,,,,,,,
B06,平均落札価格（電源属地別）[円/kW],,,,,,,,,
B06,落札量合計（TSO別）[MW],,,,,,,,,,
B06,（内訳）自エリアからの落札量[MW],,,,,,,,,,
B07,募集量（TSO別）[MW],,,,,,,,,,
B07,応札量合計（電源属地別）[MW],,,,,,,,,,
B07,落札量合計（電源属地別）[MW],,,,,,,,,,
B07,最高落札価格（電源属地別）[円/kW],,,,,,,,,
B07,最低落札価格（電源属地別）[円/kW],,,,,,,,,
B07,平均落札価格（電源属地別）[円/kW],,,,,,,,,
B07,落札量合計（TSO別）[MW],,,,,,,,,,
B07,（内訳）自エリアからの落札量[MW],,,,,,,,,,
B08,募集量（TSO別）[MW],,,,,,,,,,
B08,応札量合計（電源属地別）[MW],,,,,,,,,,
B08,落札量合計（電源属地別）[MW],,,,,,,,,,
B08,最高落札価格（電源属地別）[円/kW],,,,,,,,,
B08,最低落札価格（電源属地別）[円/kW],,,,,,,,,
B08,平均落札価格（電源属地別）[円/kW],,,,,,,,,
B08,落札量合計（TSO別）[MW],,,,,,,,,,
B08,（内訳）自エリアからの落札量[MW],,,,,,,,,,
RT,応札・落札結果,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
B01,応札件数（電源属地別）[件],,,,,,,,,,
B01,落札件数（電源属地別）[件],,,,,,,,,,
B01,応札量合計（電源属地別）[MW],,,,,,,,,,
B01,落札量合計（電源属地別）[MW],,,,,,,,,,
B02,応札件数（電源属地別）[件],,,,,,,,,,
B02,落札件数（電源属地別）[件],,,,,,,,,,
B02,応札量合計（電源属地別）[MW],,,,,,,,,,
B02,落札量合計（電源属地別）[MW],,,,,,,,,,
B03,応札件数（電源属地別）[件],,,,,,,,,,
B03,落札件数（電源属地別）[件],,,,,,,,,,
B03,応札量合計（電源属地別）[MW],,,,,,,,,,
B03,落札量合計（電源属地別）[MW],,,,,,,,,,
B04,応札件数（電源属地別）[件],,,,,,,,,,
B04,落札件数（電源属地別）[件],,,,,,,,,,
B04,応札量合計（電源属地別）[MW],,,,,,,,,,
B04,落札量合計（電源属地別）[MW],,,,,,,,,,
B05,応札件数（電源属地別）[件],,,,,,,,,,
B05,落札件数（電源属地別）[件],,,,,,,,,,
B05,応札量合計（電源属地別）[MW],,,,,,,,,,
B05,落札量合計（電源属地別）[MW],,,,,,,,,,
B06,応札件数（電源属地別）[件],,,,,,,,,,
B06,落札件数（電源属地別）[件],,,,,,,,,,
B06,応札量合計（電源属地別）[MW],,,,,,,,,,
B06,落札量合計（電源属地別）[MW],,,,,,,,,,
B07,応札件数（電源属地別）[件],,,,,,,,,,
B07,落札件数（電源属地別）[件],,,,,,,,,,
B07,応札量合計（電源属地別）[MW],,,,,,,,,,
B07,落札量合計（電源属地別）[MW],,,,,,,,,,
B08,応札件数（電源属地別）[件],,,,,,,,,,
B08,落札件数（電源属地別）[件],,,,,,,,,,
B08,応札量合計（電源属地別）[MW],,,,,,,,,,
B08,落札量合計（電源属地別）[MW],,,,,,,,,,
E
