H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数,,,,,,,,
20250301B01,合計（確報値）,（内訳）自エリアからの約定量[MW],255,720,0,0,148,640.158,234.664,138,237,2372.822
20250301B02,システム約定結果,募集量（TSO別）[MW],230,487,1128,0,147,602,298,130,366,3388
20250301B02,システム約定結果,応札量合計（電源属地別）[MW],272,720,74.9,0,147,808.659,547.819,130,150,2850.378
20250301B02,システム約定結果,落札量合計（電源属地別）[MW],230,720,74.9,0,147,699.158,417.842,130,149,2567.9
20250301B02,システム約定結果,応札件数（電源属地別）[件],2,4,1,0,1,4,7,3,3,25
20250301B02,システム約定結果,落札件数（電源属地別）[件],2,4,1,0,1,4,7,3,3,25
20250301B02,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],3.65,2.82,0.33,0,1.41,0.34,3.33,1.44,1.57,3.65
20250301B02,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],3.01,1.98,0.33,0,1.41,0.34,0.34,0.34,1.08,0.33
20250301B02,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],3.37,2.52,0.33,0,1.41,0.34,2.32,0.57,1.37,1.68
20250301B02,システム約定結果,最高落札価格（TSO別）[円/kW・30分],3.65,2.82,0.33,0,1.41,0.34,3.33,1.44,3.25,3.65
20250301B02,システム約定結果,最低落札価格（TSO別）[円/kW・30分],3.01,1.98,0.33,0,1.41,0.34,0.34,0.34,0.34,0.33
20250301B02,システム約定結果,平均落札価格（TSO別）[円/kW・30分],3.37,2.52,0.33,0,1.41,0.34,2.3,0.57,1.42,1.68
20250301B02,システム約定結果,落札量合計（TSO別）[MW],230,720,74.9,0,147,602,298,130,366,2567.9
20250301B02,システム約定結果,（内訳）自エリアからの落札量[MW],230,720,74.9,0,147,602,298,130,149,2350.9
20250301B02,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20250301B02,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B02,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20250301B02,合計（確報値）,募集量（TSO別）[MW],230,487,1128,0,147,602,298,130,366,3388
20250301B02,合計（確報値）,応札量合計（電源属地別）[MW],272,720,74.9,0,147,808.659,547.829,130,150,2850.388
20250301B02,合計（確報値）,約定量合計（電源属地別）[MW],230,720,74.9,0,147,699.158,338.506,130,149,2488.564
20250301B02,合計（確報値）,応札件数（電源属地別）[件],2,4,1,0,1,4,8,3,3,26
20250301B02,合計（確報値）,約定件数（電源属地別）[件],2,4,1,0,1,4,7,3,3,25
20250301B02,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],3.65,2.82,0.33,0,1.41,0.34,3.33,1.44,1.57,3.65
20250301B02,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],3.01,1.98,0.33,0,1.41,0.34,0.34,0.34,1.08,0.33
20250301B02,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],3.37,2.52,0.33,0,1.41,0.34,2.11,0.57,1.37,1.63
20250301B02,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],3.65,2.82,0.33,0,1.41,0.34,3.33,1.44,2.88,3.65
20250301B02,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],3.01,1.98,0.33,0,1.41,0.34,0.34,0.34,0.34,0.33
20250301B02,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],3.37,2.52,0.33,0,1.41,0.34,1.97,0.57,1.42,1.63
20250301B02,合計（確報値）,約定量合計（TSO別）[MW],230,720,74.9,0,147,602,219.391,130,365.273,2488.564
20250301B02,合計（確報値）,（内訳）自エリアからの約定量[MW],230,720,74.9,0,147,602,219.391,130,149,2272.291
20250301B03,システム約定結果,募集量（TSO別）[MW],249,783,1580,132,209,897,412,204,481,4947
20250301B03,システム約定結果,応札量合計（電源属地別）[MW],288,721.5,329.1,1.5,232,808.659,501.393,204,150,3236.152
20250301B03,システム約定結果,落札量合計（電源属地別）[MW],249,721.5,329.1,1.5,232,808.659,501.393,204,150,3197.152
20250301B03,システム約定結果,応札件数（電源属地別）[件],2,5,3,1,2,4,7,3,3,30
20250301B03,システム約定結果,落札件数（電源属地別）[件],2,5,3,1,2,4,7,3,3,30
20250301B03,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],4.74,7.21,4.54,7.21,2.76,0.34,2.79,1.64,1.9,7.21
20250301B03,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],1.96,2.12,0.33,7.21,1.86,0.34,0.37,0.34,1.49,0.33
20250301B03,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],3.42,2.73,3.58,7.21,2.1,0.34,2.08,0.49,1.73,1.93
20250301B03,システム約定結果,最高落札価格（TSO別）[円/kW・30分],4.74,7.21,4.54,7.21,2.76,2.72,2.79,2.33,1.9,7.21
20250301B03,システム約定結果,最低落札価格（TSO別）[円/kW・30分],1.96,2.12,0.33,7.21,1.86,0.34,0.34,0.34,0.34,0.33
20250301B03,システム約定結果,平均落札価格（TSO別）[円/kW・30分],3.42,2.73,3.58,7.21,2.13,0.59,1.99,0.62,1.14,1.93
20250301B03,システム約定結果,落札量合計（TSO別）[MW],249,721.5,329.1,1.5,209,880.548,412,133.504,261,3197.152
20250301B03,システム約定結果,（内訳）自エリアからの落札量[MW],249,721.5,329.1,1.5,209,752.929,397,129.73,150,2939.759
20250301B03,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20250301B03,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B03,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B03,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250301B03,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250301B03,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B03,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B03,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B03,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B03,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B03,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B03,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B03,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20250301B03,合計（確報値）,募集量（TSO別）[MW],249,783,1580,132,209,897,412,204,481,4947
20250301B03,合計（確報値）,応札量合計（電源属地別）[MW],288,901.5,329.1,1.5,232,927.04,520.383,204,150,3553.523
20250301B03,合計（確報値）,約定量合計（電源属地別）[MW],249,721.5,329.1,1.5,232,808.659,422.059,204,150,3117.818
20250301B03,合計（確報値）,応札件数（電源属地別）[件],2,9,3,1,2,6,9,3,3,38
20250301B03,合計（確報値）,約定件数（電源属地別）[件],2,8,3,1,2,6,8,3,3,36
20250301B03,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],4.74,7.21,4.54,7.21,2.76,0.34,2.79,1.64,1.9,7.21
20250301B03,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],1.96,2.12,0.33,7.21,1.86,0.34,0.37,0.34,1.49,0.33
20250301B03,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],3.42,2.73,3.58,7.21,2.1,0.34,1.96,0.49,1.73,1.91
20250301B03,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],4.74,7.21,4.54,7.21,2.76,2.72,2.79,2.33,1.9,7.21
20250301B03,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],1.96,2.12,0.33,7.21,1.86,0.34,0.34,0.34,0.34,0.33
20250301B03,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],3.42,2.73,3.58,7.21,2.13,0.54,1.87,0.62,1.14,1.91
20250301B03,合計（確報値）,約定量合計（TSO別）[MW],249,721.5,329.1,1.5,209,859.609,353.605,133.504,261,3117.818
20250301B03,合計（確報値）,（内訳）自エリアからの約定量[MW],249,721.5,329.1,1.5,209,752.929,338.605,129.73,150,2881.364
20250301B04,システム約定結果,募集量（TSO別）[MW],301,987,1980,848,275,1296,580,284,637,7188
20250301B04,システム約定結果,応札量合計（電源属地別）[MW],346,540,738.1,0,285,808.659,501.393,210,815,4244.152
20250301B04,システム約定結果,落札量合計（電源属地別）[MW],307,540,738.1,0,285,808.659,501.393,210,637,4027.152
20250301B04,システム約定結果,応札件数（電源属地別）[件],4,3,6,0,2,4,7,3,6,35
20250301B04,システム約定結果,落札件数（電源属地別）[件],3,3,6,0,2,4,7,3,6,34
20250301B04,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],6.72,5.28,4.54,0,0.45,0.34,0.38,6.19,5.89,6.72
20250301B04,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],0.34,5.21,0.33,0,0.34,0.34,0.34,0.34,0.34,0.33
20250301B04,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],5.28,5.26,4.11,0,0.37,0.34,0.36,0.96,2.28,2.41
20250301B04,システム約定結果,最高落札価格（TSO別）[円/kW・30分],6.72,5.28,4.54,0,0.45,0.34,0.38,6.19,5.89,6.72
20250301B04,システム約定結果,最低落札価格（TSO別）[円/kW・30分],0.34,4.54,0.33,0,0.34,0.34,0.34,0.34,0.34,0.33
20250301B04,システム約定結果,平均落札価格（TSO別）[円/kW・30分],5.28,5.13,4.04,0,0.37,0.34,0.36,0.99,2.28,2.41
20250301B04,システム約定結果,落札量合計（TSO別）[MW],307,652.2,625.9,0,275,800.246,529.393,200.413,637,4027.152
20250301B04,システム約定結果,（内訳）自エリアからの落札量[MW],307,540,625.9,0,275,790.246,501.393,200.413,637,3876.952
20250301B04,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20250301B04,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B04,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B04,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250301B04,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250301B04,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B04,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B04,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B04,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B04,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B04,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B04,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B04,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20250301B04,合計（確報値）,募集量（TSO別）[MW],301,987,1980,848,275,1296,580,284,637,7188
20250301B04,合計（確報値）,応札量合計（電源属地別）[MW],346,540,738.1,0,285,927.04,520.381,210,1064,4630.521
20250301B04,合計（確報値）,約定量合計（電源属地別）[MW],307,540,738.1,0,285,808.659,422.057,210,637,3947.816
20250301B04,合計（確報値）,応札件数（電源属地別）[件],4,3,6,0,2,6,8,3,12,44
20250301B04,合計（確報値）,約定件数（電源属地別）[件],3,3,6,0,2,6,7,3,10,40
20250301B04,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],6.72,5.28,4.54,0,0.45,0.34,0.38,6.19,0.97,6.72
20250301B04,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],0.34,5.21,0.33,0,0.34,0.34,0.34,0.34,0.34,0.33
20250301B04,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],5.28,5.26,4.11,0,0.37,0.34,0.35,0.96,0.58,2.18
20250301B04,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],6.72,5.28,4.54,0,0.45,0.34,0.38,6.19,0.97,6.72
20250301B04,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],0.34,4.54,0.33,0,0.34,0.34,0.34,0.34,0.34,0.33
20250301B04,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],5.28,5.13,4.04,0,0.37,0.34,0.35,0.99,0.58,2.18
20250301B04,合計（確報値）,約定量合計（TSO別）[MW],307,652.2,625.9,0,275,800.246,450.057,200.413,637,3947.816
20250301B04,合計（確報値）,（内訳）自エリアからの約定量[MW],307,540,625.9,0,275,790.246,422.057,200.413,637,3797.616
20250301B05,システム約定結果,募集量（TSO別）[MW],315,925,1974,917,280,1168,554,378,569,7080
20250301B05,システム約定結果,応札量合計（電源属地別）[MW],343.99,540,1135.984,0,286,808.659,501.393,270,697,4583.026
20250301B05,システム約定結果,落札量合計（電源属地別）[MW],325,540,1135.984,0,286,808.659,501.393,270,569,4436.036
20250301B05,システム約定結果,応札件数（電源属地別）[件],4,3,9,0,2,4,7,6,6,41
20250301B05,システム約定結果,落札件数（電源属地別）[件],2,3,9,0,2,4,7,6,6,39
20250301B05,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],6.54,5.45,4.54,0,0.34,0.34,0.34,7.69,7.8,7.8
20250301B05,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],3.62,5.4,0.33,0,0.34,0.34,0.34,0.34,0.34,0.33
20250301B05,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],4.8,5.43,2.49,0,0.34,0.34,0.34,1.21,1.78,2.08
20250301B05,システム約定結果,最高落札価格（TSO別）[円/kW・30分],6.54,5.45,4.54,4.54,0.34,1.36,0.34,7.69,7.8,7.8
20250301B05,システム約定結果,最低落札価格（TSO別）[円/kW・30分],3.62,0.34,0.33,4.54,0.34,0.34,0.34,0.34,0.34,0.33
20250301B05,システム約定結果,平均落札価格（TSO別）[円/kW・30分],4.8,4.86,2.14,4.54,0.34,0.36,0.34,1.24,1.78,2.08
20250301B05,システム約定結果,落札量合計（TSO別）[MW],325,725,863.984,87,280,813.496,534.454,238.102,569,4436.036
20250301B05,システム約定結果,（内訳）自エリアからの落札量[MW],325,540,863.984,0,280,771.557,484.454,238.102,569,4072.097
20250301B05,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20250301B05,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B05,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B05,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250301B05,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250301B05,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B05,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B05,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B05,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B05,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B05,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B05,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B05,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20250301B05,合計（確報値）,募集量（TSO別）[MW],315,925,1974,917,280,1168,554,378,569,7080
20250301B05,合計（確報値）,応札量合計（電源属地別）[MW],343.99,540,1135.984,0,286,961.621,520.381,270,836,4893.976
20250301B05,合計（確報値）,約定量合計（電源属地別）[MW],325,540,1064.86,0,286,808.659,422.057,270,569,4285.576
20250301B05,合計（確報値）,応札件数（電源属地別）[件],4,3,9,0,2,6,8,6,11,49
20250301B05,合計（確報値）,約定件数（電源属地別）[件],2,3,8,0,2,6,7,6,9,43
20250301B05,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],6.54,5.45,4.54,0,0.34,0.34,0.34,7.69,0.34,7.69
20250301B05,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],3.62,5.4,0.33,0,0.34,0.34,0.34,0.34,0.34,0.33
20250301B05,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],4.8,5.43,2.64,0,0.34,0.34,0.34,1.21,0.34,1.95
20250301B05,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],6.54,5.45,4.54,4.54,0.34,1.36,0.34,7.69,0.34,7.69
20250301B05,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],3.62,0.34,0.33,4.54,0.34,0.34,0.34,0.34,0.34,0.33
20250301B05,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],4.8,4.86,2.3,4.54,0.34,0.36,0.34,1.24,0.34,1.95
20250301B05,合計（確報値）,約定量合計（TSO別）[MW],325,725,792.86,87,280,796.557,472.057,238.102,569,4285.576
20250301B05,合計（確報値）,（内訳）自エリアからの約定量[MW],325,540,792.86,0,280,771.557,422.057,238.102,569,3938.576
20250301B06,システム約定結果,募集量（TSO別）[MW],220,585,1692,360,200,1102,462,258,499,5378
20250301B06,システム約定結果,応札量合計（電源属地別）[MW],288.1,720,419.9,0,207,808.659,501.393,210,630.924,3785.976
20250301B06,システム約定結果,落札量合計（電源属地別）[MW],220,720,419.9,0,207,808.659,501.393,210,503,3589.952
20250301B06,システム約定結果,応札件数（電源属地別）[件],3,4,3,0,1,4,7,3,7,32
20250301B06,システム約定結果,落札件数（電源属地別）[件],3,4,3,0,1,4,7,3,6,31
20250301B06,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],4.58,3.39,4.54,0,1.3,0.34,1.79,2.68,3.67,4.58
20250301B06,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],1.5,2.38,4.54,0,1.3,0.34,0.34,0.34,1.1,0.34
20250301B06,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],3.49,3.06,4.54,0,1.3,0.34,1.33,0.64,1.93,2
20250301B06,システム約定結果,最高落札価格（TSO別）[円/kW・30分],4.58,3.39,4.54,0,1.3,1.39,1.79,2.68,3.67,4.58
20250301B06,システム約定結果,最低落札価格（TSO別）[円/kW・30分],1.5,2.38,4.54,0,1.3,0.34,0.34,0.34,1.1,0.34
20250301B06,システム約定結果,平均落札価格（TSO別）[円/kW・30分],3.49,3.06,4.54,0,1.3,0.4,1.33,0.63,1.93,2
20250301B06,システム約定結果,落札量合計（TSO別）[MW],220,720,419.9,0,200,863.052,462,202,503,3589.952
20250301B06,システム約定結果,（内訳）自エリアからの落札量[MW],220,720,419.9,0,200,808.659,462,202,503,3535.559
20250301B06,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20250301B06,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B06,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B06,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250301B06,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250301B06,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B06,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B06,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B06,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B06,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B06,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250301B06,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20250301B06,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20250301B06,合計（確報値）,募集量（TSO別）[MW],220,585,1692,360,200,1102,462,258,499,5378
20250301B06,合計（確報値）,応札量合計（電源属地別）[MW],288.1,900,419.9,0,207,942.152,520.381,210,630.924,4118.457
20250301B06,合計（確報値）,約定量合計（電源属地別）[MW],220,720,419.9,0,207,808.659,422.057,210,503,3510.616
20250301B06,合計（確報値）,応札件数（電源属地別）[件],3,7,3,0,1,6,9,3,7,39
20250301B06,合計（確報値）,約定件数（電源属地別）[件],3,6,3,0,1,6,8,3,6,36
20250301B06,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],4.58,3.39,4.54,0,1.3,0.34,1.79,2.68,3.67,4.58
20250301B06,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],1.5,2.38,4.54,0,1.3,0.34,0.34,0.34,1.1,0.34
20250301B06,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],3.49,3.06,4.54,0,1.3,0.34,1.26,0.64,1.93,2.01
20250301B06,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],4.58,3.39,4.54,0,1.3,1.39,1.79,2.68,3.67,4.58
20250301B06,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],1.5,2.38,4.54,0,1.3,0.34,0.34,0.34,1.1,0.34
20250301B06,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],3.49,3.06,4.54,0,1.3,0.4,1.24,0.63,1.93,2.01
20250301B06,合計（確報値）,約定量合計（TSO別）[MW],220,720,419.9,0,200,863.052,382.664,202,503,3510.616
20250301B06,合計（確報値）,（内訳）自エリアからの約定量[MW],220,720,419.9,0,200,808.659,382.664,202,503,3456.223
