H,電力需給調整力取引所取引結果,対象年月日,取引年月日,商品区分,ブロック数,,,,,,,
B01,合計（確報値）,最高約定価格（電源属地別）[円/kW],0,0,0,0,0,0,0,0.33,3.48,
B01,合計（確報値）,最低約定価格（電源属地別）[円/kW],0,0,0,0,0,0,0,0.33,3.48,
B01,合計（確報値）,平均約定価格（電源属地別）[円/kW],0,0,0,0,0,0,0,0.33,3.48,
B01,合計（確報値）,約定量合計（TSO別）[MW],0,1,0,0,0,0,0,8,15,24
B01,合計（確報値）,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,8,15,23
B02,システム約定結果,募集量（TSO別）[MW],0,209,65,75,3,0,16,13,44,425
B02,システム約定結果,応札量合計（電源属地別）[MW],33,6,321.506,492,0,385,16,623,44,1920.506
B02,システム約定結果,落札量合計（電源属地別）[MW],0,0,171,0,0,0,16,194,44,425
B02,システム約定結果,最高落札価格（電源属地別）[円/kW],0,0,0.67,0,0,0,0.49,0.45,4.03,
B02,システム約定結果,最低落札価格（電源属地別）[円/kW],0,0,0.67,0,0,0,0.49,0.33,0.4,
B02,システム約定結果,平均落札価格（電源属地別）[円/kW],0,0,0.67,0,0,0,0.49,0.39,2.46,
B02,システム約定結果,落札量合計（TSO別）[MW],0,209,65,75,3,0,16,13,44,425
B02,システム約定結果,（内訳）自エリアからの落札量[MW],0,0,65,0,0,0,16,13,44,138
B02,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
B02,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
B02,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
B02,追加調達結果,最高約定価格（電源属地別）[円/kW],0,0,0,0,0,0,0,0,0,
B02,追加調達結果,最低約定価格（電源属地別）[円/kW],0,0,0,0,0,0,0,0,0,
B02,追加調達結果,平均約定価格（電源属地別）[円/kW],0,0,0,0,0,0,0,0,0,
B02,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
B02,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
B02,合計（確報値）,募集量（TSO別）[MW],0,209,65,75,3,0,16,13,44,425
B02,合計（確報値）,応札量合計（電源属地別）[MW],33,6,321.506,492,0,385,16,623,44,1920.506
B02,合計（確報値）,約定量合計（電源属地別）[MW],0,0,171,0,0,0,16,194,44,425
B02,合計（確報値）,最高約定価格（電源属地別）[円/kW],0,0,0.67,0,0,0,0.49,0.45,4.03,
B02,合計（確報値）,最低約定価格（電源属地別）[円/kW],0,0,0.67,0,0,0,0.49,0.33,0.4,
B02,合計（確報値）,平均約定価格（電源属地別）[円/kW],0,0,0.67,0,0,0,0.49,0.39,2.46,
B02,合計（確報値）,約定量合計（TSO別）[MW],0,209,65,75,3,0,16,13,44,425
B02,合計（確報値）,（内訳）自エリアからの約定量[MW],0,0,65,0,0,0,16,13,44,138
B03,システム約定結果,募集量（TSO別）[MW],112,933,1390,648,55,26,672,206,224,4266
B03,システム約定結果,応札量合計（電源属地別）[MW],298.94,0,1924.759,950.398,0,999.029,672.131,567,224,5636.257
B03,システム約定結果,落札量合計（電源属地別）[MW],0,0,1924.759,877.398,0,131.842,570.001,538,224,4266
B03,システム約定結果,最高落札価格（電源属地別）[円/kW],0,0,0.67,3.38,0,3.69,2.34,3.6,3.56,
B03,システム約定結果,最低落札価格（電源属地別）[円/kW],0,0,0.41,1.55,0,3.69,0.2,0.33,0.4,
B03,システム約定結果,平均落札価格（電源属地別）[円/kW],0,0,0.45,2.81,0,3.69,0.35,1.52,0.81,
B03,システム約定結果,落札量合計（TSO別）[MW],112,933,1390,648,55,26,672,206,224,4266
B03,システム約定結果,（内訳）自エリアからの落札量[MW],0,0,1390,648,0,26,570.001,206,224,3064.001
B03,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
B03,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
B03,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
B03,追加調達結果,最高約定価格（電源属地別）[円/kW],0,0,0,0,0,0,0,0,0,
B03,追加調達結果,最低約定価格（電源属地別）[円/kW],0,0,0,0,0,0,0,0,0,
B03,追加調達結果,平均約定価格（電源属地別）[円/kW],0,0,0,0,0,0,0,0,0,
B03,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
B03,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
B03,合計（確報値）,募集量（TSO別）[MW],112,933,1390,648,55,26,672,206,224,4266
B03,合計（確報値）,応札量合計（電源属地別）[MW],298.94,0,1924.759,1032.398,0,999.029,672.131,567,224,5718.257
B03,合計（確報値）,約定量合計（電源属地別）[MW],0,0,1924.759,877.398,0,131.842,570.001,538,224,4266
B03,合計（確報値）,最高約定価格（電源属地別）[円/kW],0,0,0.67,3.38,0,3.69,2.34,3.6,3.56,
B03,合計（確報値）,最低約定価格（電源属地別）[円/kW],0,0,0.41,1.55,0,3.69,0.2,0.33,0.4,
B03,合計（確報値）,平均約定価格（電源属地別）[円/kW],0,0,0.45,2.81,0,3.69,0.35,1.52,0.81,
B03,合計（確報値）,約定量合計（TSO別）[MW],112,933,1390,648,55,26,672,206,224,4266
B03,合計（確報値）,（内訳）自エリアからの約定量[MW],0,0,1390,648,0,26,570.001,206,224,3064.001
B04,システム約定結果,募集量（TSO別）[MW],100,1503,3712,1438,107,570,537,267,498,8732
B04,システム約定結果,応札量合計（電源属地別）[MW],298.94,376,4140.11,1117,0,1427.393,537.076,736,498,9130.519
B04,システム約定結果,落札量合計（電源属地別）[MW],0,376,4140.11,1069,0,1404.814,537.076,707,498,8732
B04,システム約定結果,最高落札価格（電源属地別）[円/kW],0,2.71,0.67,3.84,0,4.06,0.79,3.6,3.43,
B04,システム約定結果,最低落札価格（電源属地別）[円/kW],0,2.11,0.41,2.17,0,3.69,0.2,0.33,0.4,
B04,システム約定結果,平均落札価格（電源属地別）[円/kW],0,2.54,0.47,2.98,0,3.84,0.21,1.51,0.68,
B04,システム約定結果,落札量合計（TSO別）[MW],100,1503,3712,1438,107,570,537,267,498,8732
B04,システム約定結果,（内訳）自エリアからの落札量[MW],0,376,3712,1069,0,570,537,267,498,7029
B04,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
B04,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
B04,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
B04,追加調達結果,最高約定価格（電源属地別）[円/kW],0,0,0,0,0,0,0,0,0,
B04,追加調達結果,最低約定価格（電源属地別）[円/kW],0,0,0,0,0,0,0,0,0,
B04,追加調達結果,平均約定価格（電源属地別）[円/kW],0,0,0,0,0,0,0,0,0,
B04,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
B04,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
B04,合計（確報値）,募集量（TSO別）[MW],100,1503,3712,1438,107,570,537,267,498,8732
B04,合計（確報値）,応札量合計（電源属地別）[MW],298.94,376,4184.274,1197,0,1427.393,537.076,736,498,9254.683
B04,合計（確報値）,約定量合計（電源属地別）[MW],0,376,4140.11,1069,0,1404.814,537.076,707,498,8732
B04,合計（確報値）,最高約定価格（電源属地別）[円/kW],0,2.71,0.67,3.84,0,4.06,0.79,3.6,3.43,
B04,合計（確報値）,最低約定価格（電源属地別）[円/kW],0,2.11,0.41,2.17,0,3.69,0.2,0.33,0.4,
B04,合計（確報値）,平均約定価格（電源属地別）[円/kW],0,2.54,0.47,2.98,0,3.84,0.21,1.51,0.68,
B04,合計（確報値）,約定量合計（TSO別）[MW],100,1503,3712,1438,107,570,537,267,498,8732
B04,合計（確報値）,（内訳）自エリアからの約定量[MW],0,376,3712,1069,0,570,537,267,498,7029
B05,システム約定結果,募集量（TSO別）[MW],122,1295,2119,1593,32,373,1205,257,1085,8081
B05,システム約定結果,応札量合計（電源属地別）[MW],298.94,6,2552.553,977.074,0,1519.552,941.46,712,1085,8092.579
B05,システム約定結果,落札量合計（電源属地別）[MW],298.94,6,2552.553,977.074,0,749.94,941.46,683,1085,7293.967
B05,システム約定結果,最高落札価格（電源属地別）[円/kW],10.65,2.21,0.67,8.41,0,3.88,3.36,3.6,3.95,
B05,システム約定結果,最低落札価格（電源属地別）[円/kW],10.65,2.21,0.41,2.21,0,3.69,0.2,0.33,0.4,
B05,システム約定結果,平均落札価格（電源属地別）[円/kW],10.65,2.21,0.44,3.38,0,3.81,0.99,1.55,1.06,
B05,システム約定結果,落札量合計（TSO別）[MW],298.94,439.553,2119,1484.474,32,373,1205,257,1085,7293.967
B05,システム約定結果,（内訳）自エリアからの落札量[MW],298.94,6,2119,977.074,0,373,941.46,257,1085,6057.474
B05,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
B05,追加調達結果,応札量合計（電源属地別）[MW],0,0,364.072,108.526,0,0,0,0,0,472.598
B05,追加調達結果,約定量合計（電源属地別）[MW],0,0,364.072,108.526,0,0,0,0,0,472.598
B05,追加調達結果,最高約定価格（電源属地別）[円/kW],0,0,0.67,0.65,0,0,0,0,0,
B05,追加調達結果,最低約定価格（電源属地別）[円/kW],0,0,0.67,0.65,0,0,0,0,0,
B05,追加調達結果,平均約定価格（電源属地別）[円/kW],0,0,0.67,0.65,0,0,0,0,0,
B05,追加調達結果,約定量合計（TSO別）[MW],0,364.072,0,108.526,0,0,0,0,0,472.598
B05,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,108.526,0,0,0,0,0,108.526
B05,合計（確報値）,募集量（TSO別）[MW],122,1295,2119,1593,32,373,1205,257,1085,8081
B05,合計（確報値）,応札量合計（電源属地別）[MW],298.94,6,2916.625,1166.6,0,1519.552,941.46,712,1085,8646.177
B05,合計（確報値）,約定量合計（電源属地別）[MW],298.94,6,2916.625,1085.6,0,749.94,941.46,683,1085,7766.565
B05,合計（確報値）,最高約定価格（電源属地別）[円/kW],10.65,2.21,0.67,8.41,0,3.88,3.36,3.6,3.95,
B05,合計（確報値）,最低約定価格（電源属地別）[円/kW],10.65,2.21,0.41,0.65,0,3.69,0.2,0.33,0.4,
B05,合計（確報値）,平均約定価格（電源属地別）[円/kW],10.65,2.21,0.47,3.11,0,3.81,0.99,1.55,1.06,
B05,合計（確報値）,約定量合計（TSO別）[MW],298.94,803.625,2119,1593,32,373,1205,257,1085,7766.565
B05,合計（確報値）,（内訳）自エリアからの約定量[MW],298.94,6,2119,1085.6,0,373,941.46,257,1085,6166
B06,システム約定結果,募集量（TSO別）[MW],134,489,608,448,25,212,1112,370,501,3899
B06,システム約定結果,応札量合計（電源属地別）[MW],298.94,0,1096.998,1442.25,0,1476.364,519.491,507,501,5842.043
B06,システム約定結果,落札量合計（電源属地別）[MW],298.94,0,1096.998,534,0,719.654,406.346,507,501,4063.938
B06,システム約定結果,最高落札価格（電源属地別）[円/kW],14.27,0,0.67,3.61,0,3.92,1.81,3.9,4.29,
B06,システム約定結果,最低落札価格（電源属地別）[円/kW],14.27,0,0.41,2.2,0,3.69,0.2,0.33,0.4,
B06,システム約定結果,平均落札価格（電源属地別）[円/kW],14.27,0,0.46,2.79,0,3.85,0.53,1.43,0.65,
B06,システム約定結果,落札量合計（TSO別）[MW],298.94,488.998,608,448,25,212,1112,370,501,4063.938
B06,システム約定結果,（内訳）自エリアからの落札量[MW],298.94,0,608,448,0,212,406.346,370,501,2844.286
B06,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
B06,追加調達結果,応札量合計（電源属地別）[MW],0,0,0.002,0,0,0,0,0,0,0.002
B06,追加調達結果,約定量合計（電源属地別）[MW],0,0,0.002,0,0,0,0,0,0,0.002
B06,追加調達結果,最高約定価格（電源属地別）[円/kW],0,0,0.67,0,0,0,0,0,0,
B06,追加調達結果,最低約定価格（電源属地別）[円/kW],0,0,0.67,0,0,0,0,0,0,
B06,追加調達結果,平均約定価格（電源属地別）[円/kW],0,0,0.67,0,0,0,0,0,0,
B06,追加調達結果,約定量合計（TSO別）[MW],0,0.002,0,0,0,0,0,0,0,0.002
B06,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
B06,合計（確報値）,募集量（TSO別）[MW],134,489,608,448,25,212,1112,370,501,3899
B06,合計（確報値）,応札量合計（電源属地別）[MW],298.94,0,1097,1442.25,0,1476.364,519.491,507,501,5842.045
B06,合計（確報値）,約定量合計（電源属地別）[MW],298.94,0,1097,534,0,719.654,406.346,507,501,4063.94
B06,合計（確報値）,最高約定価格（電源属地別）[円/kW],14.27,0,0.67,3.61,0,3.92,1.81,3.9,4.29,
B06,合計（確報値）,最低約定価格（電源属地別）[円/kW],14.27,0,0.41,2.2,0,3.69,0.2,0.33,0.4,
B06,合計（確報値）,平均約定価格（電源属地別）[円/kW],14.27,0,0.46,2.79,0,3.85,0.53,1.43,0.65,
B06,合計（確報値）,約定量合計（TSO別）[MW],298.94,489,608,448,25,212,1112,370,501,4063.94
B06,合計（確報値）,（内訳）自エリアからの約定量[MW],298.94,0,608,448,0,212,406.346,370,501,2844.286
B07,システム約定結果,募集量（TSO別）[MW],33,5,0,29,12,12,59,164,165,479
B07,システム約定結果,応札量合計（電源属地別）[MW],298.94,6,26.096,1167.667,0,356.542,59,453,165,2532.245
B07,システム約定結果,落札量合計（電源属地別）[MW],298.94,0,0,23,0,0,59,194,165,739.94
B07,システム約定結果,最高落札価格（電源属地別）[円/kW],14.27,0,0,1.11,0,0,0.34,0.45,4.33,
B07,システム約定結果,最低落札価格（電源属地別）[円/kW],14.27,0,0,1.11,0,0,0.34,0.33,0.4,
B07,システム約定結果,平均落札価格（電源属地別）[円/kW],14.27,0,0,1.11,0,0,0.34,0.39,1,
B07,システム約定結果,落札量合計（TSO別）[MW],293.94,5,0,29,12,12,59,164,165,739.94
B07,システム約定結果,（内訳）自エリアからの落札量[MW],293.94,0,0,23,0,0,59,164,165,704.94
B07,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
B07,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
B07,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
B07,追加調達結果,最高約定価格（電源属地別）[円/kW],0,0,0,0,0,0,0,0,0,
B07,追加調達結果,最低約定価格（電源属地別）[円/kW],0,0,0,0,0,0,0,0,0,
B07,追加調達結果,平均約定価格（電源属地別）[円/kW],0,0,0,0,0,0,0,0,0,
B07,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
B07,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
B07,合計（確報値）,募集量（TSO別）[MW],33,5,0,29,12,12,59,164,165,479
B07,合計（確報値）,応札量合計（電源属地別）[MW],298.94,6,26.096,1167.667,0,356.542,59,453,165,2532.245
B07,合計（確報値）,約定量合計（電源属地別）[MW],298.94,0,0,23,0,0,59,194,165,739.94
B07,合計（確報値）,最高約定価格（電源属地別）[円/kW],14.27,0,0,1.11,0,0,0.34,0.45,4.33,
B07,合計（確報値）,最低約定価格（電源属地別）[円/kW],14.27,0,0,1.11,0,0,0.34,0.33,0.4,
B07,合計（確報値）,平均約定価格（電源属地別）[円/kW],14.27,0,0,1.11,0,0,0.34,0.39,1,
B07,合計（確報値）,約定量合計（TSO別）[MW],293.94,5,0,29,12,12,59,164,165,739.94
B07,合計（確報値）,（内訳）自エリアからの約定量[MW],293.94,0,0,23,0,0,59,164,165,704.94
B08,システム約定結果,募集量（TSO別）[MW],0,1,0,0,23,0,27,9,29,89
B08,システム約定結果,応札量合計（電源属地別）[MW],12,39,309.716,155.66,0,0,27,194,29,766.376
B08,システム約定結果,落札量合計（電源属地別）[MW],0,0,0,0,0,0,27,33,29,89
B08,システム約定結果,最高落札価格（電源属地別）[円/kW],0,0,0,0,0,0,0.28,0.35,3.83,
B08,システム約定結果,最低落札価格（電源属地別）[円/kW],0,0,0,0,0,0,0.28,0.33,0.4,
B08,システム約定結果,平均落札価格（電源属地別）[円/kW],0,0,0,0,0,0,0.28,0.34,3.24,
B08,システム約定結果,落札量合計（TSO別）[MW],0,1,0,0,23,0,27,9,29,89
B08,システム約定結果,（内訳）自エリアからの落札量[MW],0,0,0,0,0,0,27,9,29,65
B08,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
B08,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
B08,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
B08,追加調達結果,最高約定価格（電源属地別）[円/kW],0,0,0,0,0,0,0,0,0,
B08,追加調達結果,最低約定価格（電源属地別）[円/kW],0,0,0,0,0,0,0,0,0,
B08,追加調達結果,平均約定価格（電源属地別）[円/kW],0,0,0,0,0,0,0,0,0,
B08,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
B08,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
B08,合計（確報値）,募集量（TSO別）[MW],0,1,0,0,23,0,27,9,29,89
B08,合計（確報値）,応札量合計（電源属地別）[MW],12,39,309.716,155.66,0,0,27,194,29,766.376
B08,合計（確報値）,約定量合計（電源属地別）[MW],0,0,0,0,0,0,27,33,29,89
B08,合計（確報値）,最高約定価格（電源属地別）[円/kW],0,0,0,0,0,0,0.28,0.35,3.83,
B08,合計（確報値）,最低約定価格（電源属地別）[円/kW],0,0,0,0,0,0,0.28,0.33,0.4,
B08,合計（確報値）,平均約定価格（電源属地別）[円/kW],0,0,0,0,0,0,0.28,0.34,3.24,
B08,合計（確報値）,約定量合計（TSO別）[MW],0,1,0,0,23,0,27,9,29,89
B08,合計（確報値）,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,27,9,29,65
RT,調達区分,応札・落札結果,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
B01,システム約定結果,応札件数（電源属地別）[件],1,1,3,1,0,3,0,9,1,19
B01,システム約定結果,落札件数（電源属地別）[件],0,0,0,0,0,0,0,1,1,2
B01,システム約定結果,応札量合計（電源属地別）[MW],191,9,342.888,25,0,231,0,170,15,983.888
B01,システム約定結果,落札量合計（電源属地別）[MW],0,0,0,0,0,0,0,9,15,24
B01,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
B01,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
B01,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
B01,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
B01,合計（確報値）,応札件数（電源属地別）[件],1,1,3,1,0,3,0,9,1,19
B01,合計（確報値）,約定件数（電源属地別）[件],0,0,0,0,0,0,0,1,1,2
B01,合計（確報値）,応札量合計（電源属地別）[MW],191,9,342.888,25,0,231,0,170,15,983.888
B01,合計（確報値）,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,9,15,24
B02,システム約定結果,応札件数（電源属地別）[件],1,1,3,7,0,1,1,16,2,32
B02,システム約定結果,落札件数（電源属地別）[件],0,0,2,0,0,0,1,7,2,12
B02,システム約定結果,応札量合計（電源属地別）[MW],33,6,321.506,492,0,385,16,623,44,1920.506
B02,システム約定結果,落札量合計（電源属地別）[MW],0,0,171,0,0,0,16,194,44,425
B02,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
B02,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
B02,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
B02,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
B02,合計（確報値）,応札件数（電源属地別）[件],1,1,3,7,0,1,1,16,2,32
B02,合計（確報値）,約定件数（電源属地別）[件],0,0,2,0,0,0,1,7,2,12
B02,合計（確報値）,応札量合計（電源属地別）[MW],33,6,321.506,492,0,385,16,623,44,1920.506
B02,合計（確報値）,約定量合計（電源属地別）[MW],0,0,171,0,0,0,16,194,44,425
B03,システム約定結果,応札件数（電源属地別）[件],1,0,12,22,0,3,8,13,2,61
B03,システム約定結果,落札件数（電源属地別）[件],0,0,12,19,0,1,5,12,2,51
B03,システム約定結果,応札量合計（電源属地別）[MW],298.94,0,1924.759,950.398,0,999.029,672.131,567,224,5636.257
B03,システム約定結果,落札量合計（電源属地別）[MW],0,0,1924.759,877.398,0,131.842,570.001,538,224,4266
B03,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
B03,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
B03,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
B03,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
B03,合計（確報値）,応札件数（電源属地別）[件],1,0,12,25,0,3,8,13,2,64
B03,合計（確報値）,約定件数（電源属地別）[件],0,0,12,21,0,1,5,12,2,53
B03,合計（確報値）,応札量合計（電源属地別）[MW],298.94,0,1924.759,1032.398,0,999.029,672.131,567,224,5718.257
B03,合計（確報値）,約定量合計（電源属地別）[MW],0,0,1924.759,877.398,0,131.842,570.001,538,224,4266
B04,システム約定結果,応札件数（電源属地別）[件],1,4,24,22,0,4,5,17,3,80
B04,システム約定結果,落札件数（電源属地別）[件],0,4,24,20,0,4,5,16,3,76
B04,システム約定結果,応札量合計（電源属地別）[MW],298.94,376,4140.11,1117,0,1427.393,537.076,736,498,9130.519
B04,システム約定結果,落札量合計（電源属地別）[MW],0,376,4140.11,1069,0,1404.814,537.076,707,498,8732
B04,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
B04,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
B04,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
B04,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
B04,合計（確報値）,応札件数（電源属地別）[件],1,4,26,25,0,4,5,17,3,85
B04,合計（確報値）,約定件数（電源属地別）[件],0,4,24,22,0,4,5,16,3,78
B04,合計（確報値）,応札量合計（電源属地別）[MW],298.94,376,4184.274,1197,0,1427.393,537.076,736,498,9254.683
B04,合計（確報値）,約定量合計（電源属地別）[MW],0,376,4140.11,1069,0,1404.814,537.076,707,498,8732
B05,システム約定結果,応札件数（電源属地別）[件],1,1,11,20,0,4,9,17,7,70
B05,システム約定結果,落札件数（電源属地別）[件],1,1,11,20,0,3,9,16,7,68
B05,システム約定結果,応札量合計（電源属地別）[MW],298.94,6,2552.553,977.074,0,1519.552,941.46,712,1085,8092.579
B05,システム約定結果,落札量合計（電源属地別）[MW],298.94,6,2552.553,977.074,0,749.94,941.46,683,1085,7293.967
B05,追加調達結果,応札件数（電源属地別）[件],0,0,3,1,0,0,0,0,0,4
B05,追加調達結果,約定件数（電源属地別）[件],0,0,3,1,0,0,0,0,0,4
B05,追加調達結果,応札量合計（電源属地別）[MW],0,0,364.072,108.526,0,0,0,0,0,472.598
B05,追加調達結果,約定量合計（電源属地別）[MW],0,0,364.072,108.526,0,0,0,0,0,472.598
B05,合計（確報値）,応札件数（電源属地別）[件],1,1,14,24,0,4,9,17,7,77
B05,合計（確報値）,約定件数（電源属地別）[件],1,1,14,23,0,3,9,16,7,74
B05,合計（確報値）,応札量合計（電源属地別）[MW],298.94,6,2916.625,1166.6,0,1519.552,941.46,712,1085,8646.177
B05,合計（確報値）,約定量合計（電源属地別）[MW],298.94,6,2916.625,1085.6,0,749.94,941.46,683,1085,7766.565
B06,システム約定結果,応札件数（電源属地別）[件],1,0,10,21,0,4,8,12,3,59
B06,システム約定結果,落札件数（電源属地別）[件],1,0,10,10,0,3,5,12,3,44
B06,システム約定結果,応札量合計（電源属地別）[MW],298.94,0,1096.998,1442.25,0,1476.364,519.491,507,501,5842.043
B06,システム約定結果,落札量合計（電源属地別）[MW],298.94,0,1096.998,534,0,719.654,406.346,507,501,4063.938
B06,追加調達結果,応札件数（電源属地別）[件],0,0,1,0,0,0,0,0,0,1
B06,追加調達結果,約定件数（電源属地別）[件],0,0,1,0,0,0,0,0,0,1
B06,追加調達結果,応札量合計（電源属地別）[MW],0,0,0.002,0,0,0,0,0,0,0.002
B06,追加調達結果,約定量合計（電源属地別）[MW],0,0,0.002,0,0,0,0,0,0,0.002
B06,合計（確報値）,応札件数（電源属地別）[件],1,0,11,21,0,4,8,12,3,60
B06,合計（確報値）,約定件数（電源属地別）[件],1,0,11,10,0,3,5,12,3,45
B06,合計（確報値）,応札量合計（電源属地別）[MW],298.94,0,1097,1442.25,0,1476.364,519.491,507,501,5842.045
B06,合計（確報値）,約定量合計（電源属地別）[MW],298.94,0,1097,534,0,719.654,406.346,507,501,4063.94
B07,システム約定結果,応札件数（電源属地別）[件],1,1,1,13,0,3,1,13,2,35
B07,システム約定結果,落札件数（電源属地別）[件],1,0,0,1,0,0,1,7,2,12
B07,システム約定結果,応札量合計（電源属地別）[MW],298.94,6,26.096,1167.667,0,356.542,59,453,165,2532.245
B07,システム約定結果,落札量合計（電源属地別）[MW],298.94,0,0,23,0,0,59,194,165,739.94
B07,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
B07,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
